id,split_audio_path,no_point_text,SentenceId,ParagraphId
1052f191ac834ac7947334fff7ea36ee_1756295335231500000_1,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295335231500000_1.wav,那我资产资料表上这个投资成本，但是他这一期确实是这个基金，应该是有一些二级市场的供应价值变动。,1,1756295335231500000
1052f191ac834ac7947334fff7ea36ee_1756295335231500000_2,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295335231500000_2.wav,那还有他投了两个没？,2,1756295335231500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_3,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_3.wav,对我跟你讲，这你要非常小心，这个就是美国做这个会计在二级市场的成本，包括他的最后你就有理解的价值方面。,3,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_4,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_4.wav,对我只是跟张勇跟吴耀飞去重新想这个问题，我跟你说是怎么样，我们实际上我们从刚开始在精神面上有这个2.5亿美元的基金。,4,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_5,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_5.wav,对，我们是7000万投在这个二级市场OK。,5,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_6,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_6.wav,但从5G的基本的角度，我是没有在看每个季度什么样的波动。,6,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_7,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_7.wav,我只知道说今天在这个7000万的层面上的时候，我已经还了1000万给所有LPL。,7,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_8,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_8.wav,我今天在二级市场的上面的估值，8月15号我看到数据是1.3亿美元。,8,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_9,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_9.wav,就是说我本来7000万美元，我就还你1000万以外，我已经就定了赚6000万。,9,1756295348611500000
1052f191ac834ac7947334fff7ea36ee_1756295348611500000_10,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/1052f191ac834ac7947334fff7ea36ee_1756295348611500000_10.wav,我是永远的时候，我刚开始给的成本来看这个东西。,10,1756295348611500000
