id,split_audio_path,no_point_text,SentenceId,ParagraphId
6ca315c43ebe47319938c95619944d6c_1756371866404500000_1,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756371866404500000_1.wav,领导你好，下面是来自网站的文字提问。,1,1756371866404500000
6ca315c43ebe47319938c95619944d6c_1756371866404500000_2,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756371866404500000_2.wav,请教您看到公司在AI方面有很多产品落地，请问一下目前有哪些商业模式可以请你来回答，谢谢。,2,1756371866404500000
6ca315c43ebe47319938c95619944d6c_1756372139774500000_3,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372139774500000_3.wav,好的，感谢领导的回答。,3,1756372139774500000
6ca315c43ebe47319938c95619944d6c_1756372139774500000_4,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372139774500000_4.wav,下一提问请教您教育信息化行业的景气度复苏情况如何？,4,1756372139774500000
6ca315c43ebe47319938c95619944d6c_1756372139774500000_5,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372139774500000_5.wav,目前是否开始做十五相关的规划了？,5,1756372139774500000
6ca315c43ebe47319938c95619944d6c_1756372139774500000_6,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372139774500000_6.wav,后续还有哪些值得期待的关键政策落地申请上回答，谢谢。,6,1756372139774500000
6ca315c43ebe47319938c95619944d6c_1756372265804500000_7,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372265804500000_7.wav,好的，感谢领导的回答。,7,1756372265804500000
6ca315c43ebe47319938c95619944d6c_1756372265804500000_8,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372265804500000_8.wav,下一提问请教您，目前有多少比例的高校已经开始做大规模的部署，以及没有开始做的高校的担忧或者阻力主要是哪些？,8,1756372265804500000
6ca315c43ebe47319938c95619944d6c_1756372265804500000_9,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372265804500000_9.wav,恳请领导回答，谢谢。,9,1756372265804500000
6ca315c43ebe47319938c95619944d6c_1756372417784500000_10,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/6ca315c43ebe47319938c95619944d6c_1756372417784500000_10.wav,好的，感谢领导的回答。,10,1756372417784500000
324fd63c961f45dbad46969707e8ede7_1756368989655500000_1,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/324fd63c961f45dbad46969707e8ede7_1756368989655500000_1.wav,各位投资者大家下午好，我是广发计算机的李婉云。,1,1756368989655500000
324fd63c961f45dbad46969707e8ede7_1756368989655500000_2,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/324fd63c961f45dbad46969707e8ede7_1756368989655500000_2.wav,欢迎参加由我们组织的金晔达的中报业绩交流会。,2,1756368989655500000
324fd63c961f45dbad46969707e8ede7_1756368989655500000_3,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/324fd63c961f45dbad46969707e8ede7_1756368989655500000_3.wav,本次交流会出席的领导是公司的董秘王总。,3,1756368989655500000
324fd63c961f45dbad46969707e8ede7_1756368989655500000_4,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/324fd63c961f45dbad46969707e8ede7_1756368989655500000_4.wav,接下来我们先有请王总为我们解读一下公司上半年的一个经营情况。,4,1756368989655500000
324fd63c961f45dbad46969707e8ede7_1756368989655500000_5,/mnt/workspace/hyq/code/come_in/asr/data/split_lingyin_audio/324fd63c961f45dbad46969707e8ede7_1756368989655500000_5.wav,之后我们再进入问答环节，有请王总。,5,1756368989655500000
